Genecards	OMIM	Pharmgkb	TTD	DrugBank	Total
ANKRD55					ANKRD55
SLK					SLK
DUSP16					DUSP16
KLF12					KLF12
VSIR					VSIR
OR2J3					OR2J3
THRIL					THRIL
MYO1C					MYO1C
GMIP					GMIP
PTPRN2					PTPRN2
SCARF1					SCARF1
KCNC1					KCNC1
PYGO2					PYGO2
SEZ6					SEZ6
GABRR2					GABRR2
IGLL5					IGLL5
OPN1SW					OPN1SW
NACA					NACA
TOR1B					TOR1B
HAP1					HAP1
FGD2					FGD2
MT1A					MT1A
HCG9					HCG9
FIGNL1					FIGNL1
AZIN1					AZIN1
LYPLA2P1					LYPLA2P1
MIR429					MIR429
CYTL1					CYTL1
KCNC2					KCNC2
AHRR					AHRR
APIP					APIP
CNTNAP5					CNTNAP5
RAD51B					RAD51B
ETV7					ETV7
AP3M2					AP3M2
FBXL12					FBXL12
CENATAC					CENATAC
FCMR					FCMR
CASC11					CASC11
GGA2					GGA2
OR11A1					OR11A1
OR2B3					OR2B3
OR2J2					OR2J2
OR14J1					OR14J1
LINC01556					LINC01556
SLED1					SLED1
SUCLA2P1					SUCLA2P1
MAS1LP1					MAS1LP1
MYL12BP3					MYL12BP3
MFHAS1					MFHAS1
CFAP58					CFAP58
PPFIA1					PPFIA1
RNF26					RNF26
TPR					TPR
RAVER1					RAVER1
ERVFRD-1					ERVFRD-1
LINC02210-CRHR1					LINC02210-CRHR1
ATG13					ATG13
SRPK1					SRPK1
FBXL20					FBXL20
TSPAN33					TSPAN33
FRK					FRK
CEP170					CEP170
EHBP1L1					EHBP1L1
AKR1E2					AKR1E2
MCM3AP-AS1					MCM3AP-AS1
MIR153-2					MIR153-2
IRAK3					IRAK3
CRLS1					CRLS1
MGAT5					MGAT5
MVB12A					MVB12A
ADCY7					ADCY7
MIR199A2					MIR199A2
WASF5P					WASF5P
RNH1					RNH1
FAM193A					FAM193A
GRXCR1					GRXCR1
GTF2B					GTF2B
SART1					SART1
LGR6					LGR6
EGR3					EGR3
KLF3-AS1					KLF3-AS1
KCNJ12					KCNJ12
ZNF667-AS1					ZNF667-AS1
MDN1					MDN1
FMNL2					FMNL2
LOC109286563					LOC109286563
METTL14					METTL14
MIR153-1					MIR153-1
PLB1					PLB1
MAP2K5					MAP2K5
ZNF184					ZNF184
IFNA14					IFNA14
DPF3					DPF3
ESX1					ESX1
ACSL5					ACSL5
NCOA5					NCOA5
OLIG3					OLIG3
SOHLH1					SOHLH1
CCL28					CCL28
PLCB2					PLCB2
HLA-H					HLA-H
MIR374B					MIR374B
NEURL4					NEURL4
PLLP					PLLP
RPS6KA4					RPS6KA4
TMEM259					TMEM259
SIRPB1					SIRPB1
PMS2P5					PMS2P5
GOLGA3					GOLGA3
EPB41L2					EPB41L2
DDX47					DDX47
EIF3G					EIF3G
SLC9A4					SLC9A4
DFFB					DFFB
HSH2D					HSH2D
RNF40					RNF40
JADE2					JADE2
RMI2					RMI2
POM121C					POM121C
WDR33					WDR33
PRICKLE2					PRICKLE2
ARFGAP1					ARFGAP1
TSPAN3					TSPAN3
TENT4A					TENT4A
MKNK2					MKNK2
N4BP2					N4BP2
TEAD2					TEAD2
DNAJB12					DNAJB12
SCHLAP1					SCHLAP1
BST1					BST1
IGHG3					IGHG3
POLA2					POLA2
TIGIT					TIGIT
RCBTB1					RCBTB1
ECD					ECD
AGXT2					AGXT2
USP36					USP36
TGM3					TGM3
RTEL1-TNFRSF6B					RTEL1-TNFRSF6B
ENSG00000276609					ENSG00000276609
ENSG00000277469					ENSG00000277469
ENSG00000277553					ENSG00000277553
ENSG00000278708					ENSG00000278708
RFC5					RFC5
DNAH17					DNAH17
CDKL2					CDKL2
RECQL5					RECQL5
RNY4					RNY4
NECTIN4					NECTIN4
MATK					MATK
HSP90AA2P					HSP90AA2P
YPEL5					YPEL5
ULK1					ULK1
USP17L3					USP17L3
DSC3					DSC3
IGLON5					IGLON5
HEATR1					HEATR1
BTN1A1					BTN1A1
ZFP91-CNTF					ZFP91-CNTF
PHETA1					PHETA1
CENPU					CENPU
H2BC15					H2BC15
CPQ					CPQ
BTN3A1					BTN3A1
ATP8B2					ATP8B2
SGMS1					SGMS1
MIR5100					MIR5100
ZNF2					ZNF2
SCAMP2					SCAMP2
HMGB2					HMGB2
CDK18					CDK18
VAV2					VAV2
UXS1					UXS1
ENSG00000261069					ENSG00000261069
CLK2					CLK2
REXO1					REXO1
LLGL2					LLGL2
ELF3					ELF3
MIR411					MIR411
CACNA1E					CACNA1E
SIRPG					SIRPG
SNX31					SNX31
ALAS1					ALAS1
HMG20A					HMG20A
SRPK2					SRPK2
CCRL2					CCRL2
TMEM175					TMEM175
SLC25A35					SLC25A35
ZSWIM8					ZSWIM8
NID1					NID1
RMST					RMST
NRM					NRM
MORF4L1					MORF4L1
IGF2BP3					IGF2BP3
BMP2K					BMP2K
SNORD16					SNORD16
MIR1279					MIR1279
MMP19					MMP19
GATB					GATB
RNPEP					RNPEP
SLBP					SLBP
LCE3B					LCE3B
BTN3A3					BTN3A3
KRI1					KRI1
MOCOS					MOCOS
CHRNA9					CHRNA9
ZFP90					ZFP90
LIX1					LIX1
PPFIA2					PPFIA2
BTN2A2					BTN2A2
CLK3					CLK3
MRGPRD					MRGPRD
SYS1					SYS1
MRPL11					MRPL11
SH2D1B					SH2D1B
LCE3C					LCE3C
SYCE1					SYCE1
ZFPM1					ZFPM1
LRRTM4					LRRTM4
HOXD3					HOXD3
ULK3					ULK3
SLC45A1					SLC45A1
SCGN					SCGN
HSPA14					HSPA14
LINC01082					LINC01082
RPA3					RPA3
MIR621					MIR621
ADAD1					ADAD1
GARIN1A					GARIN1A
AHNAK2					AHNAK2
ANKRD44					ANKRD44
KCNN1					KCNN1
INPP5B					INPP5B
SBNO2					SBNO2
SMYD3					SMYD3
C1orf21					C1orf21
FHL3					FHL3
FIRRE					FIRRE
ISYNA1					ISYNA1
CPLX3					CPLX3
ASB6					ASB6
FAM47E					FAM47E
PPP6R1					PPP6R1
TSPOAP1-AS1					TSPOAP1-AS1
SLU7					SLU7
TANK					TANK
CABP1					CABP1
FAM98A					FAM98A
LOC110283621					LOC110283621
TSPYL2					TSPYL2
APOC4-APOC2					APOC4-APOC2
C9orf78					C9orf78
ERI1					ERI1
FAM234B					FAM234B
CHI3L2					CHI3L2
GOLGB1					GOLGB1
TSBP1-AS1					TSBP1-AS1
IQCN					IQCN
MRPL23					MRPL23
SEPTIN1					SEPTIN1
ZWILCH					ZWILCH
IFNL2					IFNL2
SNORA12					SNORA12
MOB1A					MOB1A
MIR3678					MIR3678
LSM7					LSM7
MIR516A1					MIR516A1
ARFGAP2					ARFGAP2
RAD1					RAD1
ATG2A					ATG2A
PTGFR					PTGFR
RAPGEF6					RAPGEF6
GON4L					GON4L
NONHSAG046336.2					NONHSAG046336.2
THAP7					THAP7
ATP10B					ATP10B
SDF2L1					SDF2L1
MIR516A2					MIR516A2
DNAL4					DNAL4
MTCH1					MTCH1
SPATA16					SPATA16
RBM47					RBM47
MRPL4					MRPL4
HECTD4					HECTD4
NRG3					NRG3
ZNF629					ZNF629
CCNDBP1					CCNDBP1
TRS-TGA2-1					TRS-TGA2-1
C1D					C1D
DUSP23					DUSP23
MEF2D					MEF2D
CSNK1A1L					CSNK1A1L
SORCS2					SORCS2
SIGLEC6					SIGLEC6
GREM2					GREM2
RPP14					RPP14
KHDC4					KHDC4
SLC7A6OS					SLC7A6OS
ZPBP					ZPBP
IGHV1-69					IGHV1-69
ARFGAP3					ARFGAP3
BACE1-AS					BACE1-AS
BTBD8					BTBD8
TXNDC5					TXNDC5
PPAN					PPAN
DDT					DDT
MBL3P					MBL3P
BEND6					BEND6
DAZAP1					DAZAP1
CLDN23					CLDN23
GTF2IRD2B					GTF2IRD2B
MIER1					MIER1
UPK2					UPK2
SLAMF9					SLAMF9
STK17A					STK17A
RGS9BP					RGS9BP
ZNHIT1					ZNHIT1
CDHR5					CDHR5
CCDC116					CCDC116
FAM223A					FAM223A
PAPOLG					PAPOLG
CA1					CA1
C10orf55					C10orf55
GTF2H1					GTF2H1
DR1					DR1
BCL9L					BCL9L
PEAK1					PEAK1
AHCTF1					AHCTF1
TNRC6C					TNRC6C
WDR18					WDR18
MAGI1					MAGI1
DGKZ					DGKZ
TREML4					TREML4
MIR498					MIR498
INSL6					INSL6
KLHL10					KLHL10
APOBEC3A					APOBEC3A
PPCDC					PPCDC
GPS2					GPS2
EPS8L2					EPS8L2
DUSP11					DUSP11
IGES					IGES
CARMIL1					CARMIL1
PKIA					PKIA
SMIM3					SMIM3
HLA-DQB1-AS1					HLA-DQB1-AS1
POFUT2					POFUT2
XCL1					XCL1
TEX10					TEX10
PYDC1					PYDC1
GORASP1					GORASP1
ENSG00000285959					ENSG00000285959
SLC22A11					SLC22A11
TAS1R3					TAS1R3
CLIP1					CLIP1
TMEM38A					TMEM38A
DPY19L2					DPY19L2
CLNK					CLNK
COL25A1-DT					COL25A1-DT
PALM					PALM
TAF9					TAF9
KCTD6					KCTD6
NKX2-3					NKX2-3
TMEM163					TMEM163
CD2BP2					CD2BP2
CDH6					CDH6
FAM20B					FAM20B
TRX-CAT1-6					TRX-CAT1-6
EIPR1					EIPR1
PPIL2					PPIL2
ZNF652					ZNF652
FCAMR					FCAMR
SNORD43					SNORD43
CCL23					CCL23
ZCCHC3					ZCCHC3
MTMR9					MTMR9
ITGAD					ITGAD
ANKRD27					ANKRD27
ZBTB7B					ZBTB7B
PRAG1					PRAG1
ZNRD2					ZNRD2
TAOK3					TAOK3
DNAH6					DNAH6
SEPTIN11					SEPTIN11
MIR371B					MIR371B
MKRN2					MKRN2
TXLNA					TXLNA
CMAHP					CMAHP
MILR1					MILR1
LRATD2					LRATD2
KCNK7					KCNK7
PICSAR					PICSAR
CABIN1					CABIN1
C15orf39					C15orf39
RRAGA					RRAGA
MORC3					MORC3
KANK2					KANK2
SLC6A16					SLC6A16
ECE2					ECE2
DISC2					DISC2
ST7-OT3					ST7-OT3
LERFS					LERFS
ERVE-1					ERVE-1
SIGLEC14					SIGLEC14
MANCR					MANCR
RNF122					RNF122
LOC102723568					LOC102723568
EMCN					EMCN
RNF103					RNF103
ACSL6					ACSL6
PUS10					PUS10
RAB44					RAB44
PPP2R2D					PPP2R2D
DYRK2					DYRK2
ANGPTL1					ANGPTL1
TARBP1					TARBP1
REG1A					REG1A
H2AC20					H2AC20
DRAM2					DRAM2
NPSR1					NPSR1
SMARCD3					SMARCD3
PRDX6-AS1					PRDX6-AS1
CTSW					CTSW
DKK4					DKK4
RALBP1					RALBP1
SNF8					SNF8
CDKL3					CDKL3
DUSP8					DUSP8
FGL1					FGL1
USP4					USP4
SNORA75					SNORA75
CIDEB					CIDEB
DDO					DDO
TEX15					TEX15
SPPL3					SPPL3
ACAP1					ACAP1
EIF4EBP2					EIF4EBP2
GPM6A					GPM6A
CCT6A					CCT6A
SLC39A6					SLC39A6
PRIM2					PRIM2
PIR					PIR
YIPF2					YIPF2
GSDMB					GSDMB
C1QTNF6					C1QTNF6
MIR135A2					MIR135A2
QTRT1					QTRT1
FAM3A					FAM3A
RTCB					RTCB
NRAD1					NRAD1
ANKRD49					ANKRD49
DEXI					DEXI
MIR1304					MIR1304
RGS7					RGS7
STEEP1					STEEP1
RALGPS2					RALGPS2
AP5B1					AP5B1
ETV3					ETV3
CEP131					CEP131
GPATCH1					GPATCH1
ENSG00000245025					ENSG00000245025
ENSG00000259514					ENSG00000259514
DEFA1A3					DEFA1A3
ARMC3					ARMC3
MMD					MMD
STARD10					STARD10
PAQR3					PAQR3
MIR448					MIR448
MIR449A					MIR449A
SSBP4					SSBP4
GDPD3					GDPD3
MYO5C					MYO5C
LINC00928					LINC00928
NT5C					NT5C
LINC00612					LINC00612
MIR4470					MIR4470
EPHA10					EPHA10
MED26					MED26
HMGN4					HMGN4
RGS13					RGS13
LINC00460					LINC00460
FAM3D-AS1					FAM3D-AS1
WASHC3					WASHC3
HLA-DQB3					HLA-DQB3
LOC107832851					LOC107832851
TEAD3					TEAD3
RPS2P6					RPS2P6
ACOX3					ACOX3
TMEM116					TMEM116
MIR1226					MIR1226
ABI3					ABI3
PPP1R3B					PPP1R3B
LOC119266102					LOC119266102
CASKIN2					CASKIN2
GOLGA4					GOLGA4
KIRREL3-AS3					KIRREL3-AS3
EIF1AD					EIF1AD
SCAF8					SCAF8
SF3A2					SF3A2
SORBS1					SORBS1
PRR14					PRR14
NKD1					NKD1
FAM117A					FAM117A
NDOR1					NDOR1
MTSS1					MTSS1
MIR892A					MIR892A
CHPT1					CHPT1
NORAD					NORAD
LMNTD1					LMNTD1
LSM4					LSM4
MIR1273H					MIR1273H
OBP2B					OBP2B
CFAP119					CFAP119
RNF145					RNF145
CPNE5					CPNE5
DCTD					DCTD
INTS11					INTS11
PCIF1					PCIF1
MIR548M					MIR548M
ENSG00000274029					ENSG00000274029
CYB5R1					CYB5R1
SLC17A3					SLC17A3
TCP11					TCP11
CACNB1					CACNB1
C2orf74					C2orf74
LRRC37A					LRRC37A
ELOVL3					ELOVL3
TAF3					TAF3
PNRC2					PNRC2
ANKRD16					ANKRD16
HSPA13					HSPA13
HMGA2-AS1					HMGA2-AS1
ANKRD44-IT1					ANKRD44-IT1
LOC154449					LOC154449
MIR5581					MIR5581
DHFRP2					DHFRP2
ASS1P7					ASS1P7
MIR548AY					MIR548AY
HNRNPA1P2					HNRNPA1P2
RPS3AP9					RPS3AP9
LOC110384692					LOC110384692
CNKSR3					CNKSR3
NAA16					NAA16
KTN1					KTN1
DOK6					DOK6
KCNMB2					KCNMB2
ZNF175					ZNF175
TSSC4					TSSC4
TTC33					TTC33
PHOSPHO1					PHOSPHO1
KCTD11					KCTD11
SLC25A5-AS1					SLC25A5-AS1
FLJ42969					FLJ42969
LINC02199					LINC02199
MIR5696					MIR5696
ZSCAN12P1					ZSCAN12P1
LINC01729					LINC01729
LINC02009					LINC02009
MIR4293					MIR4293
TAB3-AS2					TAB3-AS2
HLA-N					HLA-N
ENSG00000229151					ENSG00000229151
ENSG00000253163					ENSG00000253163
ENSG00000265801					ENSG00000265801
ENSG00000266535					ENSG00000266535
RPL8P1					RPL8P1
ENSG00000270066					ENSG00000270066
HNRNPA1P1					HNRNPA1P1
RPSAP38					RPSAP38
UBQLN1P1					UBQLN1P1
TRA-TGC9-1					TRA-TGC9-1
ADIPQTL4					ADIPQTL4
ZNF646					ZNF646
ADAM1A					ADAM1A
NUBP1					NUBP1
ZNF302					ZNF302
RC3H2					RC3H2
LRRC63					LRRC63
ARL17A					ARL17A
TAF11					TAF11
NR2F6					NR2F6
RABEP1					RABEP1
CXorf65					CXorf65
DUT					DUT
LSM3					LSM3
DGKA					DGKA
YDJC					YDJC
PGPEP1					PGPEP1
ZFPL1					ZFPL1
MSTO2P					MSTO2P
CEPT1					CEPT1
SEC24A					SEC24A
F2RL2					F2RL2
SNRPF					SNRPF
GTF2F1					GTF2F1
PRSS54					PRSS54
ARHGAP27					ARHGAP27
MTERF4					MTERF4
SERTAD2					SERTAD2
PRNT					PRNT
URB1					URB1
RNU11					RNU11
PGS1					PGS1
POU6F2					POU6F2
DKKL1					DKKL1
RNF185					RNF185
LINC00511					LINC00511
TMEM132C					TMEM132C
ZFX					ZFX
HCG25					HCG25
ZNF395					ZNF395
GPR137B					GPR137B
APOLD1					APOLD1
LY6G6D					LY6G6D
RAB3IL1					RAB3IL1
STK32B					STK32B
DEFB136					DEFB136
SNHG29					SNHG29
CCDC136					CCDC136
ALDH1A3-AS1					ALDH1A3-AS1
URB2					URB2
H1-1					H1-1
LINC00673					LINC00673
WBP4					WBP4
H2BC13					H2BC13
CASP12					CASP12
RSL24D1					RSL24D1
LTO1					LTO1
ARL14					ARL14
TTLL4					TTLL4
FAM168A					FAM168A
CNN1					CNN1
CARD6					CARD6
CDK3					CDK3
LOC105447645					LOC105447645
NYAP2					NYAP2
ZCCHC10					ZCCHC10
CDH22					CDH22
ADO					ADO
HLA-DPB2					HLA-DPB2
MIR378E					MIR378E
NCR2					NCR2
TIPIN					TIPIN
ZKSCAN4					ZKSCAN4
SORCS3					SORCS3
PLEKHJ1					PLEKHJ1
MAPK13					MAPK13
SLC35C2					SLC35C2
PIK3AP1					PIK3AP1
TDH					TDH
SNORD20					SNORD20
GJA10					GJA10
WTIP					WTIP
BIRC7					BIRC7
KMO					KMO
ZSCAN9					ZSCAN9
MEF2B					MEF2B
RAVER2					RAVER2
CCDC69					CCDC69
MIDN					MIDN
TMEM187					TMEM187
DNAJB3					DNAJB3
NFKBIE					NFKBIE
RRP8					RRP8
MAFTRR					MAFTRR
GULP1					GULP1
PHTF1					PHTF1
ADAMDEC1					ADAMDEC1
ARAP1					ARAP1
SBK1					SBK1
VTCN1					VTCN1
LSM8					LSM8
ANXA3					ANXA3
TTLL6					TTLL6
THM					THM
LINC00993					LINC00993
LINC02098					LINC02098
ARIH2P1					ARIH2P1
JAKMIP1					JAKMIP1
MIEN1					MIEN1
ACOXL					ACOXL
PRSS55					PRSS55
IGLV5-52					IGLV5-52
ELL					ELL
DENND2D					DENND2D
PTTG1IP					PTTG1IP
MSANTD3					MSANTD3
CCDC142					CCDC142
MIR618					MIR618
SNRPG					SNRPG
SCNN1D					SCNN1D
AGR2					AGR2
ZNF668					ZNF668
SNX32					SNX32
FUT11					FUT11
LRRC25					LRRC25
ARL17B					ARL17B
CERCAM					CERCAM
AQP12A					AQP12A
GGTLC3					GGTLC3
SNORA30					SNORA30
LCA5L					LCA5L
FAM219B					FAM219B
MANSC1					MANSC1
MFSD4B					MFSD4B
TRIM6					TRIM6
IRF1-AS1					IRF1-AS1
FCRLA					FCRLA
TM2D2					TM2D2
PUSL1					PUSL1
NAT9					NAT9
NAA11					NAA11
RNA18SN1					RNA18SN1
SEPTIN6					SEPTIN6
SKOR1					SKOR1
ERV3-1					ERV3-1
PARG					PARG
MIF4GD					MIF4GD
ELF3-AS1					ELF3-AS1
CAPSL					CAPSL
ZNF804B					ZNF804B
CYTH4					CYTH4
ZC2HC1A					ZC2HC1A
KSR2					KSR2
KLHL8					KLHL8
CKAP5					CKAP5
VSTM4					VSTM4
LRRC34					LRRC34
ST8SIA6-AS1					ST8SIA6-AS1
RNPEPL1					RNPEPL1
TMEM203					TMEM203
MRPL20					MRPL20
MRPL34					MRPL34
SLC10A3					SLC10A3
MICB-DT					MICB-DT
AHSA2P					AHSA2P
PARP11					PARP11
PTPRH					PTPRH
C10orf105					C10orf105
NRIP2					NRIP2
FCRL5					FCRL5
TMEM80					TMEM80
KIF20B					KIF20B
MTCO3P1					MTCO3P1
INKA1					INKA1
CEROX1					CEROX1
SNAR-A1					SNAR-A1
SNAR-A4					SNAR-A4
SNAR-D					SNAR-D
SNAR-A10					SNAR-A10
SNAR-A11					SNAR-A11
SNAR-A14					SNAR-A14
SNAR-A2					SNAR-A2
SNAR-A3					SNAR-A3
SNAR-A5					SNAR-A5
SNAR-A6					SNAR-A6
SNAR-A7					SNAR-A7
SNAR-A8					SNAR-A8
SNAR-A9					SNAR-A9
IQCH					IQCH
ZKSCAN3					ZKSCAN3
PSMB8-AS1					PSMB8-AS1
PTPRR					PTPRR
PARVB					PARVB
SLC38A9					SLC38A9
TNP2					TNP2
DNAH10					DNAH10
GPR107					GPR107
CASP8AP2					CASP8AP2
CAMLG					CAMLG
TRIM39-RPP21					TRIM39-RPP21
TRIM49					TRIM49
LINC01088					LINC01088
MGAT4FP					MGAT4FP
LINC02210					LINC02210
MAPT-IT1					MAPT-IT1
SPIN3					SPIN3
IZUMO4					IZUMO4
FAM3B					FAM3B
INO80B					INO80B
ZNF426					ZNF426
RNU4-2					RNU4-2
MOK					MOK
NDST2					NDST2
PRSS53					PRSS53
C1orf141					C1orf141
ENSG00000237669					ENSG00000237669
RF00017-5450					RF00017-5450
PI4KAP2					PI4KAP2
CFAP92					CFAP92
NEMP2					NEMP2
KCNK15-AS1					KCNK15-AS1
CRMA					CRMA
MRPL21					MRPL21
NXF1					NXF1
ZNF300					ZNF300
ALDH1L2					ALDH1L2
PPP1R2P1					PPP1R2P1
NPIPB6					NPIPB6
C12orf42					C12orf42
LINC01094					LINC01094
MSC-AS1					MSC-AS1
ZNF436					ZNF436
RPS29P10					RPS29P10
SHLD2P2					SHLD2P2
STAG3L2					STAG3L2
SPDYE12					SPDYE12
C19orf44					C19orf44
SMIM7					SMIM7
LSM1					LSM1
PXT1					PXT1
STEAP1B					STEAP1B
IPCEF1					IPCEF1
C6orf89					C6orf89
FCGBP					FCGBP
ACAP3					ACAP3
VGLL3					VGLL3
RFTN2					RFTN2
ENSG00000272221					ENSG00000272221
HSALNG0149394					HSALNG0149394
MN298114-173					MN298114-173
SIRPD					SIRPD
MPRIP					MPRIP
TSPYL4					TSPYL4
ZNF322					ZNF322
PRM3					PRM3
RNF182					RNF182
LMAN1L					LMAN1L
JAZF1-AS1					JAZF1-AS1
ABCB9					ABCB9
AMMECR1L					AMMECR1L
MIR138-2					MIR138-2
BNIP5					BNIP5
VCX					VCX
HMGN2					HMGN2
MEIKIN					MEIKIN
FAM86B3P					FAM86B3P
ZSCAN12					ZSCAN12
COX10-DT					COX10-DT
AADAC					AADAC
LINC01081					LINC01081
CCDC113					CCDC113
AQP12B					AQP12B
PEAK3					PEAK3
SIPA1L2					SIPA1L2
ZNF764					ZNF764
MIR4513					MIR4513
ZNF697					ZNF697
BMS1P20					BMS1P20
MIR718					MIR718
GPR78					GPR78
ARL11					ARL11
LINC02571					LINC02571
MIR4472-2					MIR4472-2
RASSF7					RASSF7
KCTD20					KCTD20
SNURF					SNURF
SPON2					SPON2
LINC00824					LINC00824
C1QTNF12					C1QTNF12
LINC02863					LINC02863
ENSG00000202533					ENSG00000202533
ENSG00000283782					ENSG00000283782
HSALNG0020226-444					HSALNG0020226-444
CM034955-348					CM034955-348
ENSG00000275106					ENSG00000275106
HSALNG0061263					HSALNG0061263
lnc-TNPO3-9					lnc-TNPO3-9
MGAT3					MGAT3
TRBV16					TRBV16
HLA-J					HLA-J
ABCF2					ABCF2
UGT3A1					UGT3A1
WFDC3					WFDC3
ELL2					ELL2
HLA-DQA1-AS1					HLA-DQA1-AS1
NAPGP2					NAPGP2
HSALNG0149401					HSALNG0149401
NONHSAG045982.2					NONHSAG045982.2
LRRC4C					LRRC4C
TMSB10					TMSB10
METTL24					METTL24
TNP1					TNP1
SPDYE5					SPDYE5
FRMD8					FRMD8
SANBR					SANBR
R3HCC1					R3HCC1
SMIM5					SMIM5
LINC00243					LINC00243
RGS21					RGS21
LINC01478					LINC01478
ZNF785					ZNF785
SNORD117					SNORD117
MYO15B					MYO15B
NXPE3					NXPE3
CCDC50					CCDC50
RPL6P25					RPL6P25
OCEL1					OCEL1
GPR173					GPR173
AGAP5					AGAP5
MOB3A					MOB3A
ENSG00000277196					ENSG00000277196
SLC17A2					SLC17A2
FAM89B					FAM89B
MIR6799					MIR6799
SUSD5					SUSD5
ARR3					ARR3
MRGPRF					MRGPRF
ZKSCAN8					ZKSCAN8
ZNF599					ZNF599
PROX2					PROX2
HSPB6					HSPB6
HCFC1-AS1					HCFC1-AS1
SCAF11					SCAF11
MROH9					MROH9
MIR6759					MIR6759
ENSG00000250264					ENSG00000250264
ABHD8					ABHD8
MIR1343					MIR1343
SLC35E2A					SLC35E2A
ZNF688					ZNF688
YBEY					YBEY
MUC8					MUC8
HOXB-AS3					HOXB-AS3
DPEP2					DPEP2
ENSG00000278730					ENSG00000278730
SWSAP1					SWSAP1
HCG23					HCG23
SIMALR					SIMALR
LINC02132					LINC02132
RPL3P2					RPL3P2
ENSG00000255422					ENSG00000255422
ENSG00000269918					ENSG00000269918
CYCSP20					CYCSP20
ENSG00000234630					ENSG00000234630
RNU6-959P					RNU6-959P
ENSG00000199332					ENSG00000199332
TREHP1					TREHP1
RNU6-376P					RNU6-376P
ENSG00000288587					ENSG00000288587
lnc-IRF1-1					lnc-IRF1-1
lnc-MAP3K7-3					lnc-MAP3K7-3
ENSG00000224431					ENSG00000224431
RF00017-1278					RF00017-1278
lnc-ANXA6-3					lnc-ANXA6-3
lnc-CREB5-4					lnc-CREB5-4
CM034955-349					CM034955-349
ENSG00000289970					ENSG00000289970
HSALNG0044846					HSALNG0044846
HSALNG0045887					HSALNG0045887
MN298214					MN298214
RF00017-5052					RF00017-5052
RF00026-586					RF00026-586
lnc-HLA-DRB1-8					lnc-HLA-DRB1-8
HSALNG0049427					HSALNG0049427
HSALNG0049428					HSALNG0049428
HSALNG0113252					HSALNG0113252
RF00017-5477					RF00017-5477
piR-61240-151					piR-61240-151
EEF1A1P14					EEF1A1P14
LINC00578					LINC00578
PUDP					PUDP
TIMM29					TIMM29
MIR3144					MIR3144
SNORD48					SNORD48
SMYD2					SMYD2
SOX13					SOX13
PCNX3					PCNX3
HCG4					HCG4
ZGLP1					ZGLP1
SAR1A					SAR1A
LENEP					LENEP
LINC01232					LINC01232
LMNTD2					LMNTD2
GLTPD2					GLTPD2
DUSP28					DUSP28
LINC02202					LINC02202
MIR4324					MIR4324
LOC283731					LOC283731
CDKN2AIPNL					CDKN2AIPNL
CMC1					CMC1
ZNF561					ZNF561
TTC31					TTC31
MIR4464					MIR4464
SLC17A4					SLC17A4
MON2					MON2
SENCR					SENCR
KRTAP5-5					KRTAP5-5
KRTAP5-6					KRTAP5-6
HOXA10-AS					HOXA10-AS
GOLGA1					GOLGA1
SLC16A5					SLC16A5
FLNB-AS1					FLNB-AS1
HCG4B					HCG4B
RPL13AP20					RPL13AP20
ZNF652-AS1					ZNF652-AS1
DNM1P35					DNM1P35
RPL36AP45					RPL36AP45
NSMAF					NSMAF
ZNF30					ZNF30
KRBOX5					KRBOX5
FAM86C1P					FAM86C1P
SHISA6					SHISA6
DCST2					DCST2
LINC00115					LINC00115
PSAPL1					PSAPL1
H2BC12L					H2BC12L
PRSS36					PRSS36
ZNF562					ZNF562
ZNF181					ZNF181
LRP1B					LRP1B
OVCH1-AS1					OVCH1-AS1
TRMT44					TRMT44
MIR1266					MIR1266
HLA-V					HLA-V
MIR1252					MIR1252
LINC02273					LINC02273
MIR633					MIR633
LINC02901					LINC02901
ENSG00000272501					ENSG00000272501
LINGO2					LINGO2
ENSG00000244349					ENSG00000244349
CCND2-AS1					CCND2-AS1
C10orf67					C10orf67
ZNF391					ZNF391
ZNF846					ZNF846
TIGD3					TIGD3
HTD2					HTD2
LINC00501					LINC00501
SAPCD1-AS1					SAPCD1-AS1
HCG17					HCG17
THAP7-AS1					THAP7-AS1
LINC01229					LINC01229
MIR3142HG					MIR3142HG
SOCS3-DT					SOCS3-DT
TDH-AS1					TDH-AS1
ZNF300P1					ZNF300P1
ATXN1-AS1					ATXN1-AS1
LINC01777					LINC01777
LINC02539					LINC02539
LINC02940					LINC02940
ABHD17AP4					ABHD17AP4
HLA-T					HLA-T
HLA-W					HLA-W
KLC2-AS1					KLC2-AS1
LINC02832					LINC02832
MICD					MICD
UQCRHP1					UQCRHP1
HLA-U					HLA-U
LINC01803					LINC01803
LINC02865					LINC02865
LOC124900380					LOC124900380
LOC124900452					LOC124900452
MICE					MICE
MIR5702					MIR5702
RPL32P1					RPL32P1
RPL7P1					RPL7P1
CDC26P1					CDC26P1
ENSG00000243384					ENSG00000243384
CICP14					CICP14
ENSG00000199550					ENSG00000199550
ENSG00000238221					ENSG00000238221
ENSG00000238280					ENSG00000238280
ENSG00000242588					ENSG00000242588
ENSG00000243230					ENSG00000243230
ENSG00000250948					ENSG00000250948
ENSG00000260773					ENSG00000260773
ENSG00000262039					ENSG00000262039
ENSG00000267904					ENSG00000267904
ENSG00000268087					ENSG00000268087
ENSG00000268743					ENSG00000268743
ENSG00000269427					ENSG00000269427
ENSG00000271553					ENSG00000271553
