Genecards	OMIM	Pharmgkb	TTD	DrugBank	Total
CREBBP		AMIGO1			CREBBP
PF4		PITPNM3			PF4
CHI3L1		CHD6			CHI3L1
NAT2		FEV			NAT2
CDKN1A		ACVR1			CDKN1A
CX3CL1		ANKH			CX3CL1
PROCR		SEMA4A			PROCR
DDX41		NPAS2			DDX41
NPY		NAV1			NPY
MIR17		ST8SIA4			MIR17
GIMAP5		PMP22			GIMAP5
ABCB1		PAX1			ABCB1
SSRP1		EGR3			SSRP1
LGALS3BP		SLC7A10			LGALS3BP
DRD4		FEZF1			DRD4
SMARCB1		TFAP2B			SMARCB1
SNRPB		CAMK1			SNRPB
ENO1		CHST8			ENO1
NFKB1		PAX5			NFKB1
NRAS		HES7			NRAS
CDKN2A		SLC7A7			CDKN2A
MIR3148		SEMA5A			MIR3148
PADI4		RNF103			PADI4
OCA2		SEMA4D			OCA2
MIR34A		SIM1			MIR34A
IL23R		KCNH4			IL23R
SLC6A4		FEZF2			SLC6A4
SIGLEC1		PITX1			SIGLEC1
FOXO3		SIX2			FOXO3
CLEC4C		MDFI			CLEC4C
LRRK2		HOXD3			LRRK2
CXCL16		ANO1			CXCL16
SRSF1		INHBA			SRSF1
ALYREF		ADGRB1			ALYREF
IL25		TRPC5			IL25
MIR302D		B3GNT5			MIR302D
SMAD3		SH3GL1			SMAD3
CAMK4		NR2C2			CAMK4
ALCAM		HEY1			ALCAM
CYP3A4		FUT10			CYP3A4
SLC5A11		MEF2D			SLC5A11
PPIA		FEZ1			PPIA
CERNA3		GJB1			CERNA3
CYBB		PHOX2B			CYBB
TNFRSF10A		SLC43A1			TNFRSF10A
CGAS		MAP1LC3A			CGAS
PLA2G6		TRAPPC2			PLA2G6
HLA-G		TCOF1			HLA-G
MAN2A1		TBX1			MAN2A1
TGFBR2		FKBPL			TGFBR2
CALCA		EFNB1			CALCA
DNMT3A		ACACB			DNMT3A
IFI16		HOXA10			IFI16
FLT3LG		HOXB4			FLT3LG
PLAT		HOXC10			PLAT
SERPING1		COMP			SERPING1
LRRC56		NFASC			LRRC56
CD36		NHEJ1			CD36
COQ2		HLX			COQ2
SOX10		NLGN1			SOX10
TH		FGF13			TH
DSP		AEBP1			DSP
SLAMF7		CDC42EP2			SLAMF7
TSIX		ADAM22			TSIX
PEPD		SEMA4C			PEPD
IFNA17		TRPS1			IFNA17
PDGFRB		SMARCD1			PDGFRB
NGF		SOX11			NGF
IGF2		SIX4			IGF2
AIRE		WNT8B			AIRE
LGALS8		PLXNA2			LGALS8
PIK3CD		PDE8A			PIK3CD
TNFSF11		FGFRL1			TNFSF11
KCNQ1		CYP46A1			KCNQ1
CDH1		KCNH8			CDH1
MIR146B		NKX3-1			MIR146B
SLAMF6		EPHB3			SLAMF6
AR		DOCK7			AR
LY9		OSR2			LY9
RUNX1		SEMA6D			RUNX1
FCGRT		HELT			FCGRT
EXO1		DRGX			EXO1
CD180		NDP			CD180
KDR		NUMBL			KDR
CYP2D6		ARHGAP26			CYP2D6
MLH1		EN1			MLH1
MIR143		SMPD1			MIR143
