pre,herb1,herb2,herb3,herb4,herb5,herb6,herb7,herb8,herb9,herb10,herb11,herb12,herb13,herb14,herb15,herb16,herb17,herb18,herb19,herb20,herb21,herb22,herb23,herb24,herb25,herb26,herb27
pre11,Arnebia Root,Bitter Orange,Chinese Thorowax Root,Corydalis Rhizome,Curcuma Tuber,Danshen Root,Forsythia Fruit,Heydyotis,Large-Leaf Gentian Root,Nutgrass Galingale Rhizome,Red Peony Root,Rosebud,Tangkuei,Zaocys,,,,,,,,,,,,,
pre12,Anemarrhena Rhizome,Asiatic Cornelian Cherry Fruit,Dioscorea Rhizome,Eclipta Herb,Giant Knotweed Rhizome and Root,Glossy Privet Fruit,Moutan Root Bark,Phellodendron Bark,Rehmannia Root,Tortoise Carapace And Plastron,,,,,,,,,,,,,,,,,
pre13,Anemarrhena Rhizome,Asiatic Cornelian Cherry Fruit,Dioscorea Rhizome,Moutan Root Bark,Oriental Waterplantain Rhizome,Phellodendron Bark,Poria,Rehmannia Root,Tortoise Carapace And Plastron,,,,,,,,,,,,,,,,,,
pre14,Anemarrhena Rhizome,Cassia Twig,Coix Seed,Gypsum,Honeysuckle Vine,Japanese Snailseed Root,Licorice Root,Phellodendron Bark,Red Peony Root,Saposhnikovia Root,Siegesbeckia Orientalis L,White Atractylodes Rhizome,,,,,,,,,,,,,,,
pre15,Anemarrhena Rhizome,Astragalus Root,Chinese Magnolia Vine Fruit,Eclipta Herb,Fleece-Flower Caulis,Glossy Privet Fruit,Licorice Root,Ophiopogon Tuber,Pseudostellaria Root,Spine Date Seed,Szechwan Lovage Rhizome,,,,,,,,,,,,,,,,
pre16,Achyranthes Root,Aged Tangerine Peel,Astragalus Root,Cassia Twig,Chinese Date,Chinese Thorowax Root,Cimicifuga,Codonopsis Root,Epimedium Leaf,Licorice Root,Manchurian Wildginger Root,Morinda Root,Pubescent Angelica Root,Szechwan Lovage Rhizome,Tangkuei,Tuberculate Speranskia Herb,White Atractylodes Rhizome,White Peony Root,,,,,,,,,
pre17,Astragalus Root,Cassia Twig,Chinese Date,Fresh Ginger Rhizome,White Peony Root,,,,,,,,,,,,,,,,,,,,,,
pre18,Anemarrhena Rhizome,Asiatic Cornelian Cherry Fruit,Dioscorea Rhizome,Moutan Root Bark,Oriental Waterplantain Rhizome,Phellodendron Bark,Poria,Prepared Rehmannia Root,,,,,,,,,,,,,,,,,,,
pre19,Asiatic Pennywort Herb,Baical Skullcap Root,Catclaw Buttercup Root,Danshen Root,Rehmannia Root,Szechwan Lovage Rhizome,,,,,,,,,,,,,,,,,,,,,
pre20,Anemarrhena Rhizome,Cimicifuga,Figwort Root,Gypsum,Imperata Rhizome,Licorice Root,Polished Round-Grained Rice,Rehmannia Root,White Peony Root,,,,,,,,,,,,,,,,,,
pre21,Adenophora Stricta,Astragalus Root,Codonopsis Root,Coptis Rhizome,Curcuma Tuber,Figwort Root,Licorice Root,Lotus Plumule,Moutan Root Bark,Peach Kernel,Red Peony Root,Rehmannia Root,Safflower,Szechwan Lovage Rhizome,Tangkuei,,,,,,,,,,,,
pre22,Adenophora Root,Astragalus Root,Codonopsis Root,Danshen Root,Dendrobium,Fragrant Solomon’S Seal Rhizome,Glehnia Root,Large-Leaf Gentian Root,Polygonatum Rhizome,Sub-Erect Spatholobus Stem,Zaocys,,,,,,,,,,,,,,,,
pre23,Chinese Taxillus Herb,Danshen Root,Dutchmanspipe Vine,Fleece-Flower Caulis,Glossy Privet Fruit,Sub-Erect Spatholobus Stem,,,,,,,,,,,,,,,,,,,,,
pre24,Achyranthes Root,Chinese Soft-Shelled Turtle Shell,Dioscorea Rhizome,Heydyotis,Licorice Root,Lycium Root Bark,Moutan Root Bark,Rehmannia Root,Sweet Wormwood Herb,,,,,,,,,,,,,,,,,,
pre25,Aged Tangerine Peel,Asiatic Pennywort Herb,Astragalus Root,Caragana Sinica,Cherokee Rosehip,Chinese Date,Corn Stigma,Cyathula Root,Danshen Root,Dioscorea Rhizome,Euryale Seed,Finger Citron,Glabrous Greenbrier Rhizome,Gypsum,Licorice Root,Lophatherum Stem and Leaf,Moutan Root Bark,Rehmannia Root,Serissa Serissoides (Dc.) Druce,Szechwan Lovage Rhizome,Water Buffalo Horn,Wheat(Triticum Aestivum Linn.),Zedoray Rhizome,,,,
pre26,Anemarrhena Rhizome,Astragalus Root,Codonopsis Root,Dioscorea Rhizome,Dodder Seed,Glehnia Root,Glossy Privet Fruit,Licorice Root,Moutan Root Bark,Ophiopogon Tuber,Prepared Rehmannia Root,Rehmannia Root,,,,,,,,,,,,,,,
pre27,Anemarrhena Rhizome,Astragalus Root,Chinese Soft-Shelled Turtle Shell,Glehnia Root,Hawthorn Fruit,Kadsura Pepper Stem,Licorice Root,Moutan Root Bark,Ophiopogon Tuber,Orient Vine,Oriental Waterplantain Rhizome,Phellodendron Bark,Prepared Rehmannia Root,Spine Date Seed,Sub-Erect Spatholobus Stem,Tangkuei,,,,,,,,,,,
