id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulate
ABCA1	0.793347241454064	8.2342266448593	3.49435649581889	0.000963224428325198	0.0303351504460177	-0.992908563319413	up
IL1RN	0.787217007482909	6.83880895492301	6.72481972466741	1.20411320608304e-08	3.84389985018816e-06	9.68191264395679	up
LGALS9	0.773327745262761	6.53609121620596	6.3557388219222	4.73764049276877e-08	1.213654817592e-05	8.37637393358594	up
MOV10	0.76232489000073	6.55959865016639	5.4966145353147	1.10596575571313e-06	0.000173854465386724	5.37684633423441	up
RIN2	0.761374133491095	6.47537991467183	7.11350813584119	2.83531115491408e-09	1.06968557208122e-06	11.0600436212025	up
BLVRA	0.747190916574134	8.59805649454104	6.07669120800579	1.32810875514427e-07	2.81206700706568e-05	7.3941917469248	up
CD38	0.726099907958199	5.96123753888366	4.77261969393606	1.44954227754531e-05	0.00131797746170924	2.93651672253179	up
MCEMP1	0.720575826726528	8.30320420014391	3.91890471192517	0.00025471176261624	0.0117450423873044	0.241959288342098	up
CLEC4D	0.720082274088561	6.34798164811484	3.85474499194669	0.000312868553242614	0.0137834872182255	0.0502007615441418	up
TAP1	0.714785032518918	10.8851741542387	6.38842146439231	4.19748367086091e-08	1.10250362240967e-05	8.49174086649274	up
DTX3L	0.708947237031181	6.67188128842804	4.68356653231164	1.97399516350433e-05	0.0016583157750087	2.644684580384	up
H1F0	0.69859861117123	6.73218174761944	4.56967703498273	2.92134208557485e-05	0.00226164607314791	2.27468314602681	up
BST2	0.690175026838034	9.05087569271001	5.73784123804007	4.60242335714047e-07	8.02523400509787e-05	6.21078629270817	up
STAT2	0.680190401696109	10.2434828814031	5.48377405710824	1.15854264636344e-06	0.000180750074526626	5.33269472413374	up
NOD2	0.678924095697819	7.5810329076387	5.04567244733064	5.55918907853594e-06	0.000603943316123669	3.84383871122228	up
TLR2	0.678763560122905	5.6890800408549	3.64920190541265	0.000598091017327259	0.0221280326200025	-0.552075952711677	up
NEXN	0.666400509810841	6.29336969896518	5.65710900504012	6.17707020003902e-07	0.000103366295686137	5.93078771281199	up
TYMP	0.664379567242974	8.30952164923539	5.67178069312882	5.85576839618254e-07	9.8786336764868e-05	5.98160882590963	up
CDC20	0.651716705002208	5.51332930666107	3.7837721874991	0.000392064934869906	0.0163689082465806	-0.159878249564062	up
VCAN	0.650539484902172	10.1520354331403	5.23548980494625	2.8295195642539e-06	0.000364069466587718	4.4844470627667	up
STARD8	0.649073219489646	5.74763808760405	7.02199363201332	3.98583424240872e-09	1.45098351806984e-06	10.7355277365701	up
SLC22A16	0.645476200014273	5.10118037057439	4.6528128892643	2.19512993103264e-05	0.00179326559326486	2.54440819368349	up
NCOA7	0.63774805955439	7.74115004841192	6.9004831553123	6.26475094822764e-09	2.20328105382582e-06	10.304624063578	up
LAMP3	0.637602062722323	5.59734056698624	7.33597606761863	1.23914155038833e-09	5.58960590664303e-07	11.8484899073774	up
CISH	0.633230896713926	6.36696686366998	4.88739060618561	9.70876559284742e-06	0.000967084406138992	3.31568551144661	up
C3AR1	0.632568178084168	6.24524600957053	4.06836195536465	0.000156834073041364	0.00809529108360275	0.69516308871562	up
EPB41L3	0.629757834244927	6.49425938992296	6.15421903517284	9.97925215363022e-08	2.30077202430919e-05	7.66649940239438	up
MAFB	0.626058529501445	8.15237632213117	4.90258581990814	9.20491269466882e-06	0.000927193875797952	3.36613262179138	up
TRAFD1	0.622906108302925	7.42865675730086	5.03869107147288	5.69823714282289e-06	0.000613240621033036	3.82042257912126	up
APOL6	0.621817423906175	5.36770105108992	4.43044715121978	4.69473669865293e-05	0.00326898612406202	1.82760304706331	up
TNFAIP6	0.621300893541528	6.13661948744638	5.08587128509273	4.82114430833419e-06	0.000549663430757881	3.97887634318503	up
JAK2	0.620328591206709	6.46624012364658	6.13474538035627	1.07225458800864e-07	2.41840029360645e-05	7.59805457955781	up
REC8	0.618734776171796	7.03997108029768	4.69148149252184	1.92070588103503e-05	0.00164670430418922	2.67053499937314	up
